200      GET       15l       74w     3338c http://192.168.240.34/icons/ubuntu-logo.png
200      GET      375l      981w    11026c http://192.168.240.34/index.html
200      GET      375l      981w    11026c http://192.168.240.34/index.html
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-content/index.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-content/themes/index.php
200      GET       86l      288w     4914c http://192.168.240.34/wordpress/wp-login.php
200      GET      385l     3179w    19935c http://192.168.240.34/wordpress/license.txt
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-content/plugins/index.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/category.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/user.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/feed.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/version.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/post.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/comment.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/template.php
200      GET       98l      838w     7368c http://192.168.240.34/wordpress/readme.html
200      GET        2l        3w       22c http://192.168.240.34/wordpress/robots.txt
200      GET       20l       44w      418c http://192.168.240.34/wordpress/robots.html
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/query.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/taxonomy.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/cache.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/theme.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/blocks.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/http.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/meta.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/widgets.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/bookmark.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/cron.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/plugin.php
200      GET        5l       15w      135c http://192.168.240.34/wordpress/wp-trackback.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/load.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-includes/capabilities.php
200      GET       17l       85w     1391c http://192.168.240.34/wordpress/wp-admin/install.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/media.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/misc.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/user.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/image.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/network.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/post.php
200      GET       26l       93w     1491c http://192.168.240.34/wordpress/wp-admin/upgrade.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/comment.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/credits.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/update.php
200      GET        0l        0w        0c http://192.168.240.34/wordpress/wp-admin/includes/taxonomy.php
